Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         8   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::FragmentsAreOnCompositeTypes#validate_type_is_composite
        10   (0.0%)           3   (0.0%)     GraphQL::Language::Token#initialize
       553   (0.3%)           3   (0.0%)     GraphQL::Schema.get_fields
         3   (0.0%)           3   (0.0%)     Module#const_get
         4   (0.0%)           3   (0.0%)     GraphQL::Language::Parser#next_token
       318   (0.2%)           3   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#setting_errors
       923   (0.5%)           3   (0.0%)     GraphQL::Language::Visitor#on_node_with_modifications
         3   (0.0%)           3   (0.0%)     GraphQL::TypeKinds::TypeKind#enum?
         6   (0.0%)           3   (0.0%)     GraphQL::Schema.query_execution_strategy
        11   (0.0%)           3   (0.0%)     GraphQL::Schema::Warden#visible_enum_value?
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::LateBoundType#unwrap
         4   (0.0%)           2   (0.0%)     GraphQL::Language::Parser#_reduce_70
         2   (0.0%)           2   (0.0%)     GraphQL::Execution::Interpreter::Runtime#delete_interpreter_context
      1006   (0.6%)           2   (0.0%)     GraphQL::Execution::Interpreter#sync_lazies
         2   (0.0%)           2   (0.0%)     GraphQL::Schema.default_execution_strategy
         3   (0.0%)           2   (0.0%)     GraphQL::Schema.analysis_engine
         2   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge::FragmentSpread.new
       407   (0.2%)           2   (0.0%)     GraphQL::Query#prepare_ast
         2   (0.0%)           2   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection
      1355   (0.7%)           2   (0.0%)     Array#map
